ID,y
1,82.744354
2,105.80603
3,82.08374
4,82.20669
5,96.84327
8,97.491455
10,101.58834
11,95.15818
12,116.07896
14,93.58164
15,116.02902
16,100.936295
17,111.64344
19,93.66819
20,107.72894
21,104.26339
22,116.56304
23,111.64344
26,108.72065
28,94.81578
29,111.64344
33,111.64344
35,96.25424
41,111.58627
42,97.535286
43,116.38514
45,97.92846
46,99.42764
51,96.48097
53,85.05841
55,103.057014
56,101.218155
57,96.30053
58,101.91745
59,105.34358
63,101.113914
64,99.82212
65,101.4475
69,100.9163
71,91.84985
72,105.61461
73,95.871956
76,104.97339
77,111.42427
78,115.08824
82,95.96695
83,101.4475
84,101.47233
85,100.23958
87,107.688354
88,111.58627
89,104.700165
91,95.99491
93,92.883865
94,108.71189
95,102.929214
96,108.148544
97,98.10246
98,106.40432
99,98.5137
101,106.26503
103,104.700165
104,91.28757
105,102.65724
110,99.5319
111,106.755936
113,108.872894
114,101.50875
115,101.47667
117,104.700165
120,93.576645
121,100.90553
122,97.559654
123,109.66325
126,105.49489
132,111.41446
135,106.686745
137,98.95938
138,93.65696
140,100.687874
142,106.74114
144,100.306145
148,95.518814
149,97.459656
155,101.072845
156,98.73597
157,98.10246
162,97.01409
163,95.98293
167,100.14095
172,116.38514
179,108.71171
180,104.60079
181,104.11464
182,109.245964
183,104.700165
185,104.700165
187,106.93122
188,96.00862
189,97.80724
191,90.99255
192,101.29296
193,104.63348
194,101.33025
195,108.95885
196,105.14977
198,97.64136
199,101.536514
201,107.47148
204,94.253426
205,100.53397
206,114.88816
210,94.81168
211,106.26503
216,100.71366
219,116.07896
220,99.49077
221,104.80163
226,104.11464
227,92.650925
228,102.871284
230,102.65247
231,98.10246
235,116.56304
236,98.855995
238,104.73038
242,102.870804
243,95.73022
244,81.4316
245,107.25535
247,99.61729
248,95.38229
249,106.731224
250,105.70292
251,98.855995
253,116.56304
254,101.74453
256,102.49031
257,95.028305
258,108.02507
259,98.32401
262,85.22351
266,93.244934
267,97.88159
272,98.9411
273,104.700165
275,100.948975
276,96.29549
279,96.07445
280,101.4475
283,92.70506
285,102.70473
288,104.700165
289,101.31274
290,107.09456
291,94.46502
292,98.22342
293,107.67311
296,102.16131
297,102.246765
298,114.951225
299,95.96695
304,95.98561
305,80.459274
306,96.62638
307,104.11464
311,102.902985
313,104.32397
314,99.17103
316,109.29312
324,103.30754
327,102.69836
329,100.40866
330,101.08582
337,94.0191
338,100.67217
339,99.94603
340,101.55347
343,95.517525
345,116.02902
346,98.76388
347,97.35154
349,102.73643
350,100.13331
352,106.86198
353,95.47152
354,80.99076
357,96.57588
358,113.85751
362,104.39666
364,100.844475
365,104.41007
366,103.06178
367,104.03359
368,92.11407
370,78.27805
373,101.17225
377,100.96006
378,107.62099
382,104.97339
384,102.871284
390,103.96806
392,100.014366
393,106.78501
395,94.14507
396,97.91232
399,82.05405
406,104.32397
408,104.32397
409,100.259224
410,82.54441
412,107.01605
413,97.11793
419,103.53525
420,104.97228
421,97.80855
430,107.349976
434,100.57247
436,96.909546
437,100.71657
438,98.11829
439,103.60437
440,101.26068
443,102.06343
446,94.83967
448,103.40554
452,100.82236
453,97.63943
457,106.64509
458,95.13771
459,109.96588
460,97.644005
462,101.95484
464,111.86314
465,116.07896
467,110.13678
471,103.443794
472,82.28657
473,92.74425
475,94.22924
480,101.952896
488,104.68206
490,104.11464
491,109.12314
492,80.08285
493,97.700714
497,96.49256
498,103.605576
499,96.84399
500,99.29624
501,96.16754
502,100.2503
506,82.42514
510,105.59887
511,92.25772
512,95.11521
516,101.56143
518,101.133354
519,99.82938
521,107.47374
522,109.541084
526,103.496124
529,105.869774
532,98.723206
533,100.0623
536,108.020424
537,94.173195
539,96.35038
540,106.480064
541,95.26239
543,98.64939
546,98.47655
547,99.68423
548,78.0163
551,100.818146
552,99.51445
556,100.241585
557,102.36577
558,104.03359
559,90.66718
560,100.79898
562,100.801704
566,104.94409
570,103.605576
571,100.71657
572,101.4475
573,96.00862
575,116.07896
576,98.4018
577,103.20542
579,97.21006
580,106.13956
581,110.75
589,104.11464
591,98.3763
593,95.68397
594,106.758995
595,95.66271
598,100.79784
602,95.37088
604,107.11606
606,112.25664
608,102.91928
609,106.26503
610,96.925316
616,98.04666
617,102.77349
618,101.61354
620,104.8874
622,105.900085
623,97.95631
624,102.50666
626,100.73131
628,99.08123
629,99.46351
630,102.65247
637,99.19833
638,106.7885
643,98.211395
645,101.952896
646,101.829094
648,94.76852
652,105.20073
653,100.71657
654,103.605576
656,99.61848
657,100.01856
659,97.675156
660,101.86174
663,104.61893
